track_name,album_name,energy,valence,reading_grade,syllable_density,lexical_diversity,bridge_shift,thematic_dna,energy_is_predicted,valence_is_predicted,cluster_id,umap_x,umap_y,top_driver,archetype_name,archetype_desc,symbol,data_type
Tim McGraw,Taylor Swift,0.491,0.425,0.5298360655737717,1.1420765027322404,0.3333333333333333,0.1779,"hope, blue, chest, faded, jeans",False,False,0.0,-0.90173393,5.977332,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",diamond-wide,ACTUAL
Picture To Burn,Taylor Swift,0.877,0.821,3.0835857329067444,1.2508591065292096,0.3780068728522336,-0.9552,"pickup, redneck, wasted, truck, lyin",False,False,2.0,4.5410037,7.0542707,reading_grade,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",diamond-wide,ACTUAL
Teardrops On My Guitar,Taylor Swift,0.417,0.289,1.0256388888888883,1.1701388888888888,0.4513888888888889,-1.2090999999999998,"drew, wishing, singing, reason, star",False,False,1.0,0.19331059,5.157587,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond-wide,ACTUAL
A Place In This World,Taylor Swift,0.777,0.428,1.0361111111111114,1.125,0.3534482758620689,-0.2912,"strong, just, wrong, mystery, sleeve",False,False,3.0,0.8969413,9.073766,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Cold As You,Taylor Swift,0.482,0.261,2.2396234817813756,1.2388663967611335,0.4170040485829959,-1.9162,"rainy, given, sitting, shame, ending",False,False,1.0,3.220592,5.934939,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond-wide,ACTUAL
The Outside,Taylor Swift,0.805,0.591,1.6752384891094572,1.2136752136752136,0.3888888888888889,0.0,"lets, looking, view, lonely, lot",False,False,3.0,2.200862,8.46924,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Tied Together With A Smile,Taylor Swift,0.578,0.192,1.967057367829021,1.248031496062992,0.3464566929133858,-0.9498,"letting, undone, jumping, coming, losing",False,False,4.0,3.048106,6.06206,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond-wide,ACTUAL
Stay Beautiful,Taylor Swift,0.629,0.504,3.0028604557370464,1.3486590038314177,0.4482758620689655,-0.9415,"leads, piece, looked, ask, hope",False,False,2.0,4.711796,6.227366,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",diamond-wide,ACTUAL
Should've Said No,Taylor Swift,0.777,0.472,1.148409090909091,1.1761363636363635,0.3096590909090909,-0.798,"shouldn, fore, begging, forgiveness, twice",False,False,3.0,0.010075078,7.9937034,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Mary's Song (Oh My My My),Taylor Swift,0.627,0.374,1.326675981873116,1.1601208459214505,0.4501510574018127,-0.5263,"mamas, smiled, eighty, rolled, shined",False,False,1.0,1.0071247,6.205202,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),diamond-wide,ACTUAL
Our Song,Taylor Swift,0.672,0.539,1.5126451983898832,1.1891891891891893,0.3783783783783784,0.7363999999999999,"late, tappin, amen, slammin, sneakin",False,False,3.0,1.5362412,8.518552,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
I'm Only Me When I'm With You,Taylor Swift,0.934,0.518,1.2841729323308293,1.1907894736842106,0.3453947368421052,0.443,"half, crazy, true, matter, tryin",False,False,3.0,1.6610433,9.166928,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Invisible,Taylor Swift,0.394,0.233,2.0931000000000033,1.292,0.324,0.6772,"unbelievable, miracle, just, light, instead",False,False,4.0,2.1598916,4.4073677,energy,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond-wide,ACTUAL
A Perfectly Good Heart,Taylor Swift,0.751,0.268,1.5702775441547523,1.2672413793103448,0.3103448275862069,0.0,"wanna, break, tear, scar, apart",False,False,3.0,2.2135193,6.977059,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Teardrops On My Guitar (Pop Version),Taylor Swift,0.753,0.483,1.0341915807560156,1.168384879725086,0.4536082474226804,-1.2090999999999998,"drew, wishing, singing, reason, star",False,False,3.0,-0.29390156,7.663465,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Fearless,Fearless,0.714,0.467,1.227590233545648,1.1369426751592355,0.3598726114649681,0.2329,"drag, dance, storm, gets, head",False,False,3.0,1.0408262,9.330894,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
Fifteen,Fearless,0.636,0.214,1.6396121453900712,1.1901041666666667,0.4557291666666667,-0.6922,"tells, gonna, somebody, breath, deep",False,False,1.0,1.4625106,6.070604,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond,ACTUAL
Love Story,Fearless,0.736,0.307,1.8098214285714285,1.2142857142857142,0.4021164021164021,0.1876,"romeo, juliet, yes, waiting, princess",False,False,3.0,2.1579185,6.612692,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
Hey Stephen,Fearless,0.553,0.825,1.5582818347054437,1.1733668341708543,0.3467336683417085,-0.5203,"help, mmm, angel, feeling, magic",False,False,3.0,-0.7401795,8.736399,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
White Horse,Fearless,0.346,0.195,1.5784827166927222,1.1914191419141915,0.4224422442244224,-0.6978,"late, ain, whoa, princess, catch",False,False,1.0,0.8635119,4.6551166,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond,ACTUAL
You Belong With Me,Fearless,0.771,0.445,1.4206775304580257,1.1738035264483626,0.3702770780856423,-0.038,"understands, bout, captain, wears, cheer",False,False,3.0,1.2163322,9.245408,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
Breathe,Fearless,0.486,0.17,2.095732780504317,1.220447284345048,0.3610223642172524,1.6512,"easy, save, simple, break, feeling",False,False,4.0,2.1738267,3.8950667,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond,ACTUAL
